# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
illuminance	lux	masculine	On luks	nominative	{0} luks	101 luks je	{0} luksa	102 luksa je	{0} luksi	4 luksi je	{0} luksov	5 luksov je
illuminance	lux	masculine	On luks	accusative	{0} luks	čez 101 luks	{0} luksa	čez 102 luksa	{0} lukse	čez 4 lukse	{0} luksov	čez 5 luksov
illuminance	lux	masculine	On luks	genitive	{0} luksa	brez 101 luksa	{0} luksov	brez 102 luksov	{0} luksov	brez 4 luksov	{0} luksov	brez 5 luksov
illuminance	lux	masculine	On luks	locative	{0} luksu	po 101 luksu	{0} luksih	po 102 luksih	{0} luksih	po 4 luksih	{0} luksih	po 5 luksih
illuminance	lux	masculine	On luks	dative	{0} luksu	kljub 101 luksu	{0} luksoma	kljub 102 luksoma	{0} luksom	kljub 4 luksom	{0} luksom	kljub 5 luksom
illuminance	lux	masculine	On luks	instrumental	{0} luksom	s/z 101 luksom	{0} luksoma	s/z 102 luksoma	{0} luksi	s/z 4 luksi	{0} luksi	s/z 5 luksi
length	picometers	masculine	On pikometer	nominative	{0} pikometer	101 pikometer je	{0} pikometra	102 pikometra je	{0} pikometri	4 pikometri je	{0} pikometrov	5 pikometrov je
length	picometers	masculine	On pikometer	accusative	{0} pikometer	čez 101 pikometer	{0} pikometra	čez 102 pikometra	{0} pikometre	čez 4 pikometre	{0} pikometrov	čez 5 pikometrov
length	picometers	masculine	On pikometer	genitive	{0} pikometra	brez 101 pikometra	{0} pikometrov	brez 102 pikometrov	{0} pikometrov	brez 4 pikometrov	{0} pikometrov	brez 5 pikometrov
length	picometers	masculine	On pikometer	locative	{0} pikometru	po 101 pikometru	{0} pikometrih	po 102 pikometrih	{0} pikometrih	po 4 pikometrih	{0} pikometrih	po 5 pikometrih
length	picometers	masculine	On pikometer	dative	{0} pikometru	kljub 101 pikometru	{0} pikometroma	kljub 102 pikometroma	{0} pikometrom	kljub 4 pikometrom	{0} pikometrom	kljub 5 pikometrom
length	picometers	masculine	On pikometer	instrumental	{0} pikometrom	s/z 101 pikometrom	{0} pikometroma	s/z 102 pikometroma	{0} pikometri	s/z 4 pikometri	{0} pikometri	s/z 5 pikometri
length	nanometers	masculine	On nanometer	nominative	{0} nanometer	101 nanometer je	{0} nanometra	102 nanometra je	{0} nanometri	4 nanometri je	{0} nanometrov	5 nanometrov je
length	nanometers	masculine	On nanometer	accusative	{0} nanometer	čez 101 nanometer	{0} nanometra	čez 102 nanometra	{0} nanometre	čez 4 nanometre	{0} nanometrov	čez 5 nanometrov
length	nanometers	masculine	On nanometer	genitive	{0} nanometra	brez 101 nanometra	{0} nanometrov	brez 102 nanometrov	{0} nanometrov	brez 4 nanometrov	{0} nanometrov	brez 5 nanometrov
length	nanometers	masculine	On nanometer	locative	{0} nanometru	po 101 nanometru	{0} nanometrih	po 102 nanometrih	{0} nanometrih	po 4 nanometrih	{0} nanometrih	po 5 nanometrih
length	nanometers	masculine	On nanometer	dative	{0} nanometru	kljub 101 nanometru	{0} nanometroma	kljub 102 nanometroma	{0} nanometrom	kljub 4 nanometrom	{0} nanometrom	kljub 5 nanometrom
length	nanometers	masculine	On nanometer	instrumental	{0} nanometrom	s/z 101 nanometrom	{0} nanometroma	s/z 102 nanometroma	{0} nanometri	s/z 4 nanometri	{0} nanometri	s/z 5 nanometri
length	micrometers	masculine	On mikrometer	nominative	{0} mikrometer	101 mikrometer je	{0} mikrometra	102 mikrometra je	{0} mikrometri	4 mikrometri je	{0} mikrometrov	5 mikrometrov je
length	micrometers	masculine	On mikrometer	accusative	{0} mikrometer	čez 101 mikrometer	{0} mikrometra	čez 102 mikrometra	{0} mikrometre	čez 4 mikrometre	{0} mikrometrov	čez 5 mikrometrov
length	micrometers	masculine	On mikrometer	genitive	{0} mikrometra	brez 101 mikrometra	{0} mikrometrov	brez 102 mikrometrov	{0} mikrometrov	brez 4 mikrometrov	{0} mikrometrov	brez 5 mikrometrov
length	micrometers	masculine	On mikrometer	locative	{0} mikrometru	po 101 mikrometru	{0} mikrometrih	po 102 mikrometrih	{0} mikrometrih	po 4 mikrometrih	{0} mikrometrih	po 5 mikrometrih
length	micrometers	masculine	On mikrometer	dative	{0} mikrometru	kljub 101 mikrometru	{0} mikrometroma	kljub 102 mikrometroma	{0} mikrometrom	kljub 4 mikrometrom	{0} mikrometrom	kljub 5 mikrometrom
length	micrometers	masculine	On mikrometer	instrumental	{0} mikrometrom	s/z 101 mikrometrom	{0} mikrometroma	s/z 102 mikrometroma	{0} mikrometri	s/z 4 mikrometri	{0} mikrometri	s/z 5 mikrometri
length	point • ( = 352.˙7 μm)	n/a	n/a	nominative	{0} točka	101 točka je	{0} točki	102 točki je	{0} točke	4 točke je	{0} točk	5 točk je
length	point • ( = 352.˙7 μm)	n/a	n/a	accusative	{0} točka	čez 101 točka	{0} točki	čez 102 točki	{0} točke	čez 4 točke	{0} točk	čez 5 točk
length	point • ( = 352.˙7 μm)	n/a	n/a	genitive	{0} točka	brez 101 točka	{0} točki	brez 102 točki	{0} točke	brez 4 točke	{0} točk	brez 5 točk
length	point • ( = 352.˙7 μm)	n/a	n/a	locative	{0} točka	po 101 točka	{0} točki	po 102 točki	{0} točke	po 4 točke	{0} točk	po 5 točk
length	point • ( = 352.˙7 μm)	n/a	n/a	dative	{0} točka	kljub 101 točka	{0} točki	kljub 102 točki	{0} točke	kljub 4 točke	{0} točk	kljub 5 točk
length	point • ( = 352.˙7 μm)	n/a	n/a	instrumental	{0} točka	s/z 101 točka	{0} točki	s/z 102 točki	{0} točke	s/z 4 točke	{0} točk	s/z 5 točk
length	millimeters	masculine	On milimeter	nominative	{0} milimeter	101 milimeter je	{0} milimetra	102 milimetra je	{0} milimetri	4 milimetri je	{0} milimetrov	5 milimetrov je
length	millimeters	masculine	On milimeter	accusative	{0} milimeter	čez 101 milimeter	{0} milimetra	čez 102 milimetra	{0} milimetre	čez 4 milimetre	{0} milimetrov	čez 5 milimetrov
length	millimeters	masculine	On milimeter	genitive	{0} milimetra	brez 101 milimetra	{0} milimetrov	brez 102 milimetrov	{0} milimetrov	brez 4 milimetrov	{0} milimetrov	brez 5 milimetrov
length	millimeters	masculine	On milimeter	locative	{0} milimetru	po 101 milimetru	{0} milimetrih	po 102 milimetrih	{0} milimetrih	po 4 milimetrih	{0} milimetrih	po 5 milimetrih
length	millimeters	masculine	On milimeter	dative	{0} milimetru	kljub 101 milimetru	{0} milimetroma	kljub 102 milimetroma	{0} milimetrom	kljub 4 milimetrom	{0} milimetrom	kljub 5 milimetrom
length	millimeters	masculine	On milimeter	instrumental	{0} milimetrom	s/z 101 milimetrom	{0} milimetroma	s/z 102 milimetroma	{0} milimetri	s/z 4 milimetri	{0} milimetri	s/z 5 milimetri
length	centimeters	masculine	On centimeter	nominative	{0} centimeter	101 centimeter je	{0} centimetra	102 centimetra je	{0} centimetri	4 centimetri je	{0} centimetrov	5 centimetrov je
length	centimeters	masculine	On centimeter	accusative	{0} centimeter	čez 101 centimeter	{0} centimetra	čez 102 centimetra	{0} centimetre	čez 4 centimetre	{0} centimetrov	čez 5 centimetrov
length	centimeters	masculine	On centimeter	genitive	{0} centimetra	brez 101 centimetra	{0} centimetrov	brez 102 centimetrov	{0} centimetrov	brez 4 centimetrov	{0} centimetrov	brez 5 centimetrov
length	centimeters	masculine	On centimeter	locative	{0} centimetru	po 101 centimetru	{0} centimetrih	po 102 centimetrih	{0} centimetrih	po 4 centimetrih	{0} centimetrih	po 5 centimetrih
length	centimeters	masculine	On centimeter	dative	{0} centimetru	kljub 101 centimetru	{0} centimetroma	kljub 102 centimetroma	{0} centimetrom	kljub 4 centimetrom	{0} centimetrom	kljub 5 centimetrom
length	centimeters	masculine	On centimeter	instrumental	{0} centimetrom	s/z 101 centimetrom	{0} centimetroma	s/z 102 centimetroma	{0} centimetri	s/z 4 centimetri	{0} centimetri	s/z 5 centimetri
length	inch • ( = 2.54 cm)	n/a	n/a	nominative	{0} palec	101 palec je	{0} palca	102 palca je	{0} palci	4 palci je	{0} palcev	5 palcev je
length	inch • ( = 2.54 cm)	n/a	n/a	accusative	{0} palec	čez 101 palec	{0} palca	čez 102 palca	{0} palci	čez 4 palci	{0} palcev	čez 5 palcev
length	inch • ( = 2.54 cm)	n/a	n/a	genitive	{0} palec	brez 101 palec	{0} palca	brez 102 palca	{0} palci	brez 4 palci	{0} palcev	brez 5 palcev
length	inch • ( = 2.54 cm)	n/a	n/a	locative	{0} palec	po 101 palec	{0} palca	po 102 palca	{0} palci	po 4 palci	{0} palcev	po 5 palcev
length	inch • ( = 2.54 cm)	n/a	n/a	dative	{0} palec	kljub 101 palec	{0} palca	kljub 102 palca	{0} palci	kljub 4 palci	{0} palcev	kljub 5 palcev
length	inch • ( = 2.54 cm)	n/a	n/a	instrumental	{0} palec	s/z 101 palec	{0} palca	s/z 102 palca	{0} palci	s/z 4 palci	{0} palcev	s/z 5 palcev
length	decimeters	masculine	On decimeter	nominative	{0} decimeter	101 decimeter je	{0} decimetra	102 decimetra je	{0} decimetri	4 decimetri je	{0} decimetrov	5 decimetrov je
length	decimeters	masculine	On decimeter	accusative	{0} decimeter	čez 101 decimeter	{0} decimetra	čez 102 decimetra	{0} decimetre	čez 4 decimetre	{0} decimetrov	čez 5 decimetrov
length	decimeters	masculine	On decimeter	genitive	{0} decimetra	brez 101 decimetra	{0} decimetrov	brez 102 decimetrov	{0} decimetrov	brez 4 decimetrov	{0} decimetrov	brez 5 decimetrov
length	decimeters	masculine	On decimeter	locative	{0} decimetru	po 101 decimetru	{0} decimetrih	po 102 decimetrih	{0} decimetrih	po 4 decimetrih	{0} decimetrih	po 5 decimetrih
length	decimeters	masculine	On decimeter	dative	{0} decimetru	kljub 101 decimetru	{0} decimetroma	kljub 102 decimetroma	{0} decimetrom	kljub 4 decimetrom	{0} decimetrom	kljub 5 decimetrom
length	decimeters	masculine	On decimeter	instrumental	{0} decimetrom	s/z 101 decimetrom	{0} decimetroma	s/z 102 decimetroma	{0} decimetri	s/z 4 decimetri	{0} decimetri	s/z 5 decimetri
length	foot • ( = 3.048 dm)	n/a	n/a	nominative	{0} čevelj	101 čevelj je	{0} čevlja	102 čevlja je	{0} čevlji	4 čevlji je	{0} čevljev	5 čevljev je
length	foot • ( = 3.048 dm)	n/a	n/a	accusative	{0} čevelj	čez 101 čevelj	{0} čevlja	čez 102 čevlja	{0} čevlji	čez 4 čevlji	{0} čevljev	čez 5 čevljev
length	foot • ( = 3.048 dm)	n/a	n/a	genitive	{0} čevelj	brez 101 čevelj	{0} čevlja	brez 102 čevlja	{0} čevlji	brez 4 čevlji	{0} čevljev	brez 5 čevljev
length	foot • ( = 3.048 dm)	n/a	n/a	locative	{0} čevelj	po 101 čevelj	{0} čevlja	po 102 čevlja	{0} čevlji	po 4 čevlji	{0} čevljev	po 5 čevljev
length	foot • ( = 3.048 dm)	n/a	n/a	dative	{0} čevelj	kljub 101 čevelj	{0} čevlja	kljub 102 čevlja	{0} čevlji	kljub 4 čevlji	{0} čevljev	kljub 5 čevljev
length	foot • ( = 3.048 dm)	n/a	n/a	instrumental	{0} čevelj	s/z 101 čevelj	{0} čevlja	s/z 102 čevlja	{0} čevlji	s/z 4 čevlji	{0} čevljev	s/z 5 čevljev
length	yard • ( = 0.9144 m)	n/a	n/a	nominative	{0} jard	101 jard je	{0} jarda	102 jarda je	{0} jardi	4 jardi je	{0} jardov	5 jardov je
length	yard • ( = 0.9144 m)	n/a	n/a	accusative	{0} jard	čez 101 jard	{0} jarda	čez 102 jarda	{0} jardi	čez 4 jardi	{0} jardov	čez 5 jardov
length	yard • ( = 0.9144 m)	n/a	n/a	genitive	{0} jard	brez 101 jard	{0} jarda	brez 102 jarda	{0} jardi	brez 4 jardi	{0} jardov	brez 5 jardov
length	yard • ( = 0.9144 m)	n/a	n/a	locative	{0} jard	po 101 jard	{0} jarda	po 102 jarda	{0} jardi	po 4 jardi	{0} jardov	po 5 jardov
length	yard • ( = 0.9144 m)	n/a	n/a	dative	{0} jard	kljub 101 jard	{0} jarda	kljub 102 jarda	{0} jardi	kljub 4 jardi	{0} jardov	kljub 5 jardov
length	yard • ( = 0.9144 m)	n/a	n/a	instrumental	{0} jard	s/z 101 jard	{0} jarda	s/z 102 jarda	{0} jardi	s/z 4 jardi	{0} jardov	s/z 5 jardov
length	meters	masculine	On meter	nominative	{0} meter	101 meter je	{0} metra	102 metra je	{0} metri	4 metri je	{0} metrov	5 metrov je
length	meters	masculine	On meter	accusative	{0} meter	čez 101 meter	{0} metra	čez 102 metra	{0} metre	čez 4 metre	{0} metrov	čez 5 metrov
length	meters	masculine	On meter	genitive	{0} metra	brez 101 metra	{0} metrov	brez 102 metrov	{0} metrov	brez 4 metrov	{0} metrov	brez 5 metrov
length	meters	masculine	On meter	locative	{0} metru	po 101 metru	{0} metrih	po 102 metrih	{0} metrih	po 4 metrih	{0} metrih	po 5 metrih
length	meters	masculine	On meter	dative	{0} metru	kljub 101 metru	{0} metroma	kljub 102 metroma	{0} metrom	kljub 4 metrom	{0} metrom	kljub 5 metrom
length	meters	masculine	On meter	instrumental	{0} metrom	s/z 101 metrom	{0} metroma	s/z 102 metroma	{0} metri	s/z 4 metri	{0} metri	s/z 5 metri
length	fathom • ( = 1.8288 m)	n/a	n/a	nominative	{0} seženj	101 seženj je	{0} sežnja	102 sežnja je	{0} sežnji	4 sežnji je	{0} sežnjev	5 sežnjev je
length	fathom • ( = 1.8288 m)	n/a	n/a	accusative	{0} seženj	čez 101 seženj	{0} sežnja	čez 102 sežnja	{0} sežnji	čez 4 sežnji	{0} sežnjev	čez 5 sežnjev
length	fathom • ( = 1.8288 m)	n/a	n/a	genitive	{0} seženj	brez 101 seženj	{0} sežnja	brez 102 sežnja	{0} sežnji	brez 4 sežnji	{0} sežnjev	brez 5 sežnjev
length	fathom • ( = 1.8288 m)	n/a	n/a	locative	{0} seženj	po 101 seženj	{0} sežnja	po 102 sežnja	{0} sežnji	po 4 sežnji	{0} sežnjev	po 5 sežnjev
length	fathom • ( = 1.8288 m)	n/a	n/a	dative	{0} seženj	kljub 101 seženj	{0} sežnja	kljub 102 sežnja	{0} sežnji	kljub 4 sežnji	{0} sežnjev	kljub 5 sežnjev
length	fathom • ( = 1.8288 m)	n/a	n/a	instrumental	{0} seženj	s/z 101 seženj	{0} sežnja	s/z 102 sežnja	{0} sežnji	s/z 4 sežnji	{0} sežnjev	s/z 5 sežnjev
length	furlong • ( = 201.168 m)	n/a	n/a	nominative	{0} furlong	101 furlong je	{0} furlonga	102 furlonga je	{0} furlongi	4 furlongi je	{0} furlongov	5 furlongov je
length	furlong • ( = 201.168 m)	n/a	n/a	accusative	{0} furlong	čez 101 furlong	{0} furlonga	čez 102 furlonga	{0} furlongi	čez 4 furlongi	{0} furlongov	čez 5 furlongov
length	furlong • ( = 201.168 m)	n/a	n/a	genitive	{0} furlong	brez 101 furlong	{0} furlonga	brez 102 furlonga	{0} furlongi	brez 4 furlongi	{0} furlongov	brez 5 furlongov
length	furlong • ( = 201.168 m)	n/a	n/a	locative	{0} furlong	po 101 furlong	{0} furlonga	po 102 furlonga	{0} furlongi	po 4 furlongi	{0} furlongov	po 5 furlongov
length	furlong • ( = 201.168 m)	n/a	n/a	dative	{0} furlong	kljub 101 furlong	{0} furlonga	kljub 102 furlonga	{0} furlongi	kljub 4 furlongi	{0} furlongov	kljub 5 furlongov
length	furlong • ( = 201.168 m)	n/a	n/a	instrumental	{0} furlong	s/z 101 furlong	{0} furlonga	s/z 102 furlonga	{0} furlongi	s/z 4 furlongi	{0} furlongov	s/z 5 furlongov
length	kilometers	masculine	On kilometer	nominative	{0} kilometer	101 kilometer je	{0} kilometra	102 kilometra je	{0} kilometri	4 kilometri je	{0} kilometrov	5 kilometrov je
length	kilometers	masculine	On kilometer	accusative	{0} kilometer	čez 101 kilometer	{0} kilometra	čez 102 kilometra	{0} kilometre	čez 4 kilometre	{0} kilometrov	čez 5 kilometrov
length	kilometers	masculine	On kilometer	genitive	{0} kilometra	brez 101 kilometra	{0} kilometrov	brez 102 kilometrov	{0} kilometrov	brez 4 kilometrov	{0} kilometrov	brez 5 kilometrov
length	kilometers	masculine	On kilometer	locative	{0} kilometru	po 101 kilometru	{0} kilometrih	po 102 kilometrih	{0} kilometrih	po 4 kilometrih	{0} kilometrih	po 5 kilometrih
length	kilometers	masculine	On kilometer	dative	{0} kilometru	kljub 101 kilometru	{0} kilometroma	kljub 102 kilometroma	{0} kilometrom	kljub 4 kilometrom	{0} kilometrom	kljub 5 kilometrom
length	kilometers	masculine	On kilometer	instrumental	{0} kilometrom	s/z 101 kilometrom	{0} kilometroma	s/z 102 kilometroma	{0} kilometri	s/z 4 kilometri	{0} kilometri	s/z 5 kilometri
length	mile • ( = 1.609344 km)	n/a	n/a	nominative	{0} milja	101 milja je	{0} milji	102 milji je	{0} milje	4 milje je	{0} milj	5 milj je
length	mile • ( = 1.609344 km)	n/a	n/a	accusative	{0} milja	čez 101 milja	{0} milji	čez 102 milji	{0} milje	čez 4 milje	{0} milj	čez 5 milj
length	mile • ( = 1.609344 km)	n/a	n/a	genitive	{0} milja	brez 101 milja	{0} milji	brez 102 milji	{0} milje	brez 4 milje	{0} milj	brez 5 milj
length	mile • ( = 1.609344 km)	n/a	n/a	locative	{0} milja	po 101 milja	{0} milji	po 102 milji	{0} milje	po 4 milje	{0} milj	po 5 milj
length	mile • ( = 1.609344 km)	n/a	n/a	dative	{0} milja	kljub 101 milja	{0} milji	kljub 102 milji	{0} milje	kljub 4 milje	{0} milj	kljub 5 milj
length	mile • ( = 1.609344 km)	n/a	n/a	instrumental	{0} milja	s/z 101 milja	{0} milji	s/z 102 milji	{0} milje	s/z 4 milje	{0} milj	s/z 5 milj
length	mile-scandinavian • ( = 10 km)	feminine	Ona skandinavska milja	nominative	{0} skandinavska milja	101 skandinavska milja je	{0} skandinavski milji	102 skandinavski milji je	{0} skandinavske milje	4 skandinavske milje je	{0} skandinavskih milj	5 skandinavskih milj je
length	mile-scandinavian • ( = 10 km)	feminine	Ona skandinavska milja	accusative	{0} skandinavsko miljo	čez 101 skandinavsko miljo	{0} skandinavski milji	čez 102 skandinavski milji	{0} skandinavske milje	čez 4 skandinavske milje	{0} skandinavskih milj	čez 5 skandinavskih milj
length	mile-scandinavian • ( = 10 km)	feminine	Ona skandinavska milja	genitive	{0} skandinavske milje	brez 101 skandinavske milje	{0} skandinavskih milj	brez 102 skandinavskih milj	{0} skandinavskih milj	brez 4 skandinavskih milj	{0} skandinavskih milj	brez 5 skandinavskih milj
length	mile-scandinavian • ( = 10 km)	feminine	Ona skandinavska milja	locative	{0} skandinavski milji	po 101 skandinavski milji	{0} skandinavskih miljah	po 102 skandinavskih miljah	{0} skandinavskih miljah	po 4 skandinavskih miljah	{0} skandinavskih miljah	po 5 skandinavskih miljah
length	mile-scandinavian • ( = 10 km)	feminine	Ona skandinavska milja	dative	{0} skandinavski milji	kljub 101 skandinavski milji	{0} skandinavskima miljama	kljub 102 skandinavskima miljama	{0} skandinavskim miljam	kljub 4 skandinavskim miljam	{0} skandinavskim miljam	kljub 5 skandinavskim miljam
length	mile-scandinavian • ( = 10 km)	feminine	Ona skandinavska milja	instrumental	{0} skandinavsko miljo	s/z 101 skandinavsko miljo	{0} skandinavskima miljama	s/z 102 skandinavskima miljama	{0} skandinavskimi miljami	s/z 4 skandinavskimi miljami	{0} skandinavskimi miljami	s/z 5 skandinavskimi miljami
length	earth-radius • ( = 6378.1 km)	n/a	n/a	nominative	{0} Zemljin polmer	101 Zemljin polmer je	{0} Zemljina polmera	102 Zemljina polmera je	{0} Zemljini polmeri	4 Zemljini polmeri je	{0} Zemljinih polmerov	5 Zemljinih polmerov je
length	earth-radius • ( = 6378.1 km)	n/a	n/a	accusative	{0} Zemljin polmer	čez 101 Zemljin polmer	{0} Zemljina polmera	čez 102 Zemljina polmera	{0} Zemljini polmeri	čez 4 Zemljini polmeri	{0} Zemljinih polmerov	čez 5 Zemljinih polmerov
length	earth-radius • ( = 6378.1 km)	n/a	n/a	genitive	{0} Zemljin polmer	brez 101 Zemljin polmer	{0} Zemljina polmera	brez 102 Zemljina polmera	{0} Zemljini polmeri	brez 4 Zemljini polmeri	{0} Zemljinih polmerov	brez 5 Zemljinih polmerov
length	earth-radius • ( = 6378.1 km)	n/a	n/a	locative	{0} Zemljin polmer	po 101 Zemljin polmer	{0} Zemljina polmera	po 102 Zemljina polmera	{0} Zemljini polmeri	po 4 Zemljini polmeri	{0} Zemljinih polmerov	po 5 Zemljinih polmerov
length	earth-radius • ( = 6378.1 km)	n/a	n/a	dative	{0} Zemljin polmer	kljub 101 Zemljin polmer	{0} Zemljina polmera	kljub 102 Zemljina polmera	{0} Zemljini polmeri	kljub 4 Zemljini polmeri	{0} Zemljinih polmerov	kljub 5 Zemljinih polmerov
length	earth-radius • ( = 6378.1 km)	n/a	n/a	instrumental	{0} Zemljin polmer	s/z 101 Zemljin polmer	{0} Zemljina polmera	s/z 102 Zemljina polmera	{0} Zemljini polmeri	s/z 4 Zemljini polmeri	{0} Zemljinih polmerov	s/z 5 Zemljinih polmerov
length	solar-radius • ( = 695700 km)	n/a	n/a	nominative	{0} polmer sonca	101 polmer sonca je	{0} polmera sonca	102 polmera sonca je	{0} polmeri sonca	4 polmeri sonca je	{0} polmerov sonca	5 polmerov sonca je
length	solar-radius • ( = 695700 km)	n/a	n/a	accusative	{0} polmer sonca	čez 101 polmer sonca	{0} polmera sonca	čez 102 polmera sonca	{0} polmeri sonca	čez 4 polmeri sonca	{0} polmerov sonca	čez 5 polmerov sonca
length	solar-radius • ( = 695700 km)	n/a	n/a	genitive	{0} polmer sonca	brez 101 polmer sonca	{0} polmera sonca	brez 102 polmera sonca	{0} polmeri sonca	brez 4 polmeri sonca	{0} polmerov sonca	brez 5 polmerov sonca
length	solar-radius • ( = 695700 km)	n/a	n/a	locative	{0} polmer sonca	po 101 polmer sonca	{0} polmera sonca	po 102 polmera sonca	{0} polmeri sonca	po 4 polmeri sonca	{0} polmerov sonca	po 5 polmerov sonca
length	solar-radius • ( = 695700 km)	n/a	n/a	dative	{0} polmer sonca	kljub 101 polmer sonca	{0} polmera sonca	kljub 102 polmera sonca	{0} polmeri sonca	kljub 4 polmeri sonca	{0} polmerov sonca	kljub 5 polmerov sonca
length	solar-radius • ( = 695700 km)	n/a	n/a	instrumental	{0} polmer sonca	s/z 101 polmer sonca	{0} polmera sonca	s/z 102 polmera sonca	{0} polmeri sonca	s/z 4 polmeri sonca	{0} polmerov sonca	s/z 5 polmerov sonca
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	nominative	{0} svetlobno leto	101 svetlobno leto je	{0} svetlobni leti	102 svetlobni leti je	{0} svetlobna leta	4 svetlobna leta je	{0} svetlobnih let	5 svetlobnih let je
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	accusative	{0} svetlobno leto	čez 101 svetlobno leto	{0} svetlobni leti	čez 102 svetlobni leti	{0} svetlobna leta	čez 4 svetlobna leta	{0} svetlobnih let	čez 5 svetlobnih let
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	genitive	{0} svetlobno leto	brez 101 svetlobno leto	{0} svetlobni leti	brez 102 svetlobni leti	{0} svetlobna leta	brez 4 svetlobna leta	{0} svetlobnih let	brez 5 svetlobnih let
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	locative	{0} svetlobno leto	po 101 svetlobno leto	{0} svetlobni leti	po 102 svetlobni leti	{0} svetlobna leta	po 4 svetlobna leta	{0} svetlobnih let	po 5 svetlobnih let
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	dative	{0} svetlobno leto	kljub 101 svetlobno leto	{0} svetlobni leti	kljub 102 svetlobni leti	{0} svetlobna leta	kljub 4 svetlobna leta	{0} svetlobnih let	kljub 5 svetlobnih let
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	instrumental	{0} svetlobno leto	s/z 101 svetlobno leto	{0} svetlobni leti	s/z 102 svetlobni leti	{0} svetlobna leta	s/z 4 svetlobna leta	{0} svetlobnih let	s/z 5 svetlobnih let
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	nominative	{0} parsek	101 parsek je	{0} parseka	102 parseka je	{0} parseki	4 parseki je	{0} parsekov	5 parsekov je
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	accusative	{0} parsek	čez 101 parsek	{0} parseka	čez 102 parseka	{0} parseki	čez 4 parseki	{0} parsekov	čez 5 parsekov
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	genitive	{0} parsek	brez 101 parsek	{0} parseka	brez 102 parseka	{0} parseki	brez 4 parseki	{0} parsekov	brez 5 parsekov
